site_id,zone,SP,SubRegion,Elevation_m,elevation_relative,az_size_class,median_peak_doy_1984,median_peak_doy_2024,low_peak_doy_1984,low_peak_doy_2024,high_peak_doy_1984,high_peak_doy_2024,median_peak_ndvi_1984,median_peak_ndvi_2024,low_peak_ndvi_1984,low_peak_ndvi_2024,high_peak_ndvi_1984,high_peak_ndvi_2024,median_seasonal_mean_ndvi_1984,median_seasonal_mean_ndvi_2024,low_seasonal_mean_ndvi_1984,low_seasonal_mean_ndvi_2024,high_seasonal_mean_ndvi_1984,high_seasonal_mean_ndvi_2024,peak_doy_change,peak_ndvi_change,seasonal_mean_ndvi_change,peak_doy_significant,peak_ndvi_significant,seasonal_mean_ndvi_significant
NY_WHF,USAZ,NY,Adirondack Mountains,1483,-53.799999999999955,Small,205,200,196,186.95,221.04999999999998,205.04999999999998,0.2975398068350791,0.3155742115442359,0.28924908649422965,0.30307676868021843,0.3099180042489314,0.3252227183018178,0.2760705591283051,0.28250829032694613,0.2658414946004475,0.27499177450718104,0.2850010224915085,0.29137253694324183,-5,0.018034404709156848,0.00643773119864105,FALSE,FALSE,FALSE
QC_ALB,AZ,QC,Monts Chic-Chocs,1151,61.25,Large,218.5,214,198.95,204,234,223,0.24445252130001024,0.26375023697216615,0.23623680933604357,0.25384817335634435,0.2553468521537148,0.27805929049953126,0.22533307506154182,0.2364161918132472,0.21428434691562814,0.22916591901437752,0.23636081228068512,0.2464525457488938,-4.5,0.019297715672155907,0.011083116751705369,FALSE,FALSE,FALSE
QC_ALB,USAZ,QC,Monts Chic-Chocs,1151,61.25,Large,221,209,202,201.475,232,217,0.3250203112615548,0.301330213689876,0.3171735330021127,0.29203020616791053,0.3353522391150636,0.3153693912617835,0.3036271760027185,0.27759404471891524,0.2957059305240858,0.27097763437721745,0.3126375512056079,0.2844264361749863,-12,-0.02369009757167878,-0.026033131283803246,FALSE,TRUE,TRUE
QC_AUC,AZ,QC,Monts McGerrigle,1105,-17.615384615384528,Small,214,215,203,208,273,228.52499999999998,0.3177788328801806,0.33463592585078095,0.30605590984450753,0.32025746527598076,0.3513230783454317,0.35186985865004294,0.29547443568242826,0.2986440338524903,0.27816592005982355,0.2862650229327356,0.31145756534611585,0.31159069851526244,1,0.01685709297060034,0.0031695981700620157,FALSE,FALSE,FALSE
QC_AUC,USAZ,QC,Monts McGerrigle,1105,-17.615384615384528,Small,209,212,198,205,262.5499999999998,222,0.33346541250143114,0.31861569418724767,0.3189267997907544,0.30204482317685444,0.3543022679648203,0.3296809416944235,0.3080348760056235,0.2856687695643948,0.29517772068609804,0.27470207354439613,0.32224396576448006,0.2945868521136734,3,-0.014849718314183469,-0.022366106441228717,FALSE,FALSE,TRUE
QC_CAS,AZ,QC,Monts McGerrigle,1136,13.384615384615472,Medium,215,217,204.475,202.95,239.62499999999994,228,0.3128922261735265,0.3037846808676773,0.30236001688915254,0.2919198502492677,0.33215659930163105,0.317382349938354,0.2909296551125115,0.2822075393658891,0.2769010064357055,0.271093097457433,0.30496637720566333,0.28933310970487836,2,-0.00910754530584923,-0.008722115746622405,FALSE,FALSE,FALSE
QC_CAS,USAZ,QC,Monts McGerrigle,1136,13.384615384615472,Medium,216,216.5,203,197.425,236,230,0.3213896876783816,0.282179328684136,0.309401780689594,0.2664858107226574,0.3455059369616962,0.2947207836960473,0.2962293444191452,0.2603870780099679,0.28397223547381784,0.25104610143712847,0.3113268395408852,0.27036965904530996,0.5,-0.03921035899424563,-0.035842266409177315,FALSE,TRUE,TRUE
QC_COL,AZ,QC,Monts Chic-Chocs,1041,-48.75,Small,210,202,201.475,193.47500000000002,220.52499999999998,208.04999999999998,0.43211584571957673,0.44713562589687716,0.4057411358266433,0.433078090742286,0.47285315676834094,0.4793915056489677,0.37465535111031323,0.38182736147166924,0.35572816422322573,0.3700289687880781,0.4005741557468404,0.39530489703067617,-8,0.015019780177300435,0.007172010361356007,FALSE,FALSE,FALSE
QC_COL,USAZ,QC,Monts Chic-Chocs,1041,-48.75,Small,203,201,200,193.95,218.62499999999994,205.52499999999998,0.36598081108342545,0.3705120377259903,0.341081096378574,0.3555551273230728,0.3916533865797813,0.3977445919085484,0.3225153237111068,0.30743527652165437,0.30348602742416475,0.2934944385721413,0.33151893682655786,0.3261049229527976,-2,0.004531226642564834,-0.015080047189452439,FALSE,FALSE,FALSE
QC_CON,AZ,QC,Monts McGerrigle,1207,84.38461538461547,Large,213,213,205,205,233.04999999999998,220,0.277690683060546,0.2951394506107167,0.26985391659399305,0.2865619634215103,0.2871981647053341,0.30580925162217687,0.2562974470185163,0.27015533031485345,0.24796559043923125,0.2596388751368626,0.2656121140291928,0.2767291627708529,0,0.01744876755017072,0.013857883296337137,FALSE,FALSE,FALSE
QC_CON,USAZ,QC,Monts McGerrigle,1207,84.38461538461547,Large,214,211,197.95,203,262.0749999999998,223.52499999999998,0.3242225802776717,0.31727915360448444,0.3114184193967616,0.30838987255305056,0.34368907872453014,0.3273129933689598,0.3045402601527062,0.294718155421525,0.2949026886011393,0.2862879718204191,0.3185730108351532,0.3020325298855622,-3,-0.0069434266731872585,-0.00982210473118117,FALSE,FALSE,FALSE
QC_FOR,AZ,QC,Monts Chic-Chocs,1017,-72.75,Small,214,203,201.475,195.47500000000002,229.09999999999997,210,0.3249288070792031,0.34850921645604704,0.31268500251945874,0.3395491017514852,0.3416018571912799,0.3630045363517317,0.2998136674384383,0.31022083056180827,0.28997796693320044,0.3020749362895838,0.3110734169952036,0.3185815327854974,-11,0.02358040937684397,0.010407163123369978,FALSE,FALSE,FALSE
QC_FOR,USAZ,QC,Monts Chic-Chocs,1017,-72.75,Small,204,202,196.95,197.475,214.52499999999998,206.52499999999998,0.37267434882283546,0.37694037435190486,0.35279400720683785,0.3634528616385222,0.3984516913318257,0.41010226833572444,0.3364268824821839,0.3195086154526535,0.3175131787116919,0.3080540863904183,0.34741847775037193,0.33451574310284127,-2,0.004266025529069406,-0.016918267029530365,FALSE,FALSE,FALSE
QC_JAC,AZ,QC,Monts McGerrigle,1276,153.38461538461547,Large,213,215,205,207,229.52499999999998,222.04999999999998,0.2766696488757061,0.29835194094025574,0.2685218822331653,0.2906020990680829,0.28528984462204976,0.3067140708209991,0.25053121831153935,0.2631251107313958,0.2404503707793702,0.2549514461711002,0.25792314773369757,0.27215538218622326,2,0.021682292064549635,0.012593892419856423,FALSE,TRUE,FALSE
QC_JAC,USAZ,QC,Monts McGerrigle,1276,153.38461538461547,Large,211,212,202,202.95,228,220.52499999999998,0.35741835384679094,0.33837277300242474,0.3457431298633332,0.3266093442723139,0.40823810714284436,0.34558935531703994,0.31967672911477485,0.30437928194130015,0.3022175664394672,0.29478124088062907,0.34673521274712826,0.3120327373040716,1,-0.019045580844366194,-0.015297447173474699,FALSE,TRUE,FALSE
QC_JOS,AZ,QC,Monts McGerrigle,1086,-36.61538461538453,Small,232.5,210,152,152,273,227,0.30128202247590163,0.29382895787871577,0.2872241310344746,0.2759715599393897,0.3214827651158364,0.3089564072573387,0.2887906613335859,0.2787257746959766,0.27629060779485204,0.26744898535674066,0.29990070953033743,0.28721041318377627,-22.5,-0.0074530645971858656,-0.010064886637609294,FALSE,FALSE,FALSE
QC_JOS,USAZ,QC,Monts McGerrigle,1086,-36.61538461538453,Small,221.5,210,164.825,197.475,273,224.04999999999998,0.32312533333036664,0.2947213342153516,0.3035827057057958,0.2799565224677377,0.39098842153502283,0.3124664803652919,0.30376617354160973,0.2753291252021749,0.2851820016783082,0.26296512027027585,0.3302930254673587,0.2861962570199673,-11.5,-0.02840399911501501,-0.028437048339434834,FALSE,FALSE,FALSE
QC_LOG,AZ,QC,Monts Chic-Chocs,1150,60.25,Medium,212,207,204,199.475,231,210.52499999999998,0.3785465100541162,0.3831926872420518,0.35562921283789295,0.3677212559089498,0.39683798980921003,0.4042805158739506,0.3267927800564965,0.3303712483062041,0.31381974612587316,0.32058811340845195,0.36105705931755727,0.3444240986802164,-5,0.004646177187935585,0.0035784682497076448,FALSE,FALSE,FALSE
QC_LOG,USAZ,QC,Monts Chic-Chocs,1150,60.25,Medium,212,205,205,198.47500000000002,223.52499999999998,210.52499999999998,0.3888737266377726,0.38212888191801114,0.3758609519373426,0.36794566591919686,0.4065701961380087,0.40046068260519285,0.3388120717646549,0.32219668318319716,0.3247962625182571,0.3059048567802978,0.3550499821774422,0.3354177542833398,-7,-0.006744844719761445,-0.016615388581457724,FALSE,FALSE,FALSE
QC_MCW,AZ,QC,Monts McGerrigle,1036,-86.61538461538453,Small,217,212,203.47500000000002,196.475,261.5999999999998,273,0.2369749699334119,0.2494804727585892,0.22972421471667018,0.24019091302389267,0.245560599059643,0.2584070716996879,0.22312799799819966,0.23631599739532155,0.217394480246866,0.23056720245318957,0.23159639975038265,0.2421296385300568,-5,0.01250550282517729,0.013187999397121897,FALSE,FALSE,FALSE
QC_MCW,USAZ,QC,Monts McGerrigle,1036,-86.61538461538453,Small,206,209,193.425,189.275,273,273,0.32669564113409383,0.30245722729315444,0.3169485175627628,0.2828859195113513,0.342287754107493,0.3274100046238336,0.30742706812695514,0.28600793525043244,0.29408955672155557,0.2694425580098171,0.3236954032690027,0.300196350271292,3,-0.024238413840939388,-0.021419132876522695,FALSE,FALSE,FALSE
QC_MIC,AZ,QC,Monts McGerrigle,1040,-82.61538461538453,Small,233,205.5,203.47500000000002,152,273,230,0.2555231094538204,0.2715777581997231,0.24405838207891947,0.2624617820712404,0.27849075538206647,0.29946137581913307,0.24214960650176767,0.2597600146268488,0.2327053509566935,0.24999382920503396,0.25286471931198334,0.26905932066580274,-27.5,0.016054648745902678,0.017610408125081106,FALSE,FALSE,FALSE
QC_MIC,USAZ,QC,Monts McGerrigle,1040,-82.61538461538453,Small,210.5,211.5,199.475,152,273,230.52499999999998,0.34017330587063044,0.33436567200469003,0.3288541525042836,0.3227993072581491,0.35696990982113797,0.3734980136388993,0.31603210607374754,0.3158816929107467,0.3038347165796347,0.30015757364843965,0.3280043772093947,0.3284621699157888,1,-0.005807633865940409,-1.5041316300085095e-4,FALSE,FALSE,FALSE
QC_MSA,AZ,QC,Monts McGerrigle,1068,-54.61538461538453,Small,221,210.5,205.425,152,273,234.04999999999998,0.29306569065038174,0.3079612493667746,0.2840607942266866,0.29469940051372107,0.33743985185013553,0.37632887669860193,0.27021561137808237,0.2953455013546925,0.24658779026675973,0.2846170855628352,0.2907466575688201,0.3153881544733905,-10.5,0.014895558716392865,0.025129889976610142,FALSE,FALSE,FALSE
QC_MSA,USAZ,QC,Monts McGerrigle,1068,-54.61538461538453,Small,211,210.5,192.275,152,228,233.52499999999998,0.3264964271485387,0.27884429030550395,0.31659340313155193,0.2632132084974665,0.3528820579187134,0.2972972221707604,0.2951909604279022,0.2602235733392031,0.2813629353148294,0.2465606516822596,0.31519342627628183,0.2686888393235768,-0.5,-0.047652136843034765,-0.03496738708869912,FALSE,TRUE,TRUE
